127.0.0.1, 2016-06-29 16:46:11, GET, /admin/static/_2.14.6/images/files_toggle.png, HTTP/1.1, 200, 0.002758
127.0.0.1, 2016-06-29 16:46:11, GET, /admin/static/_2.14.6/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.001992
127.0.0.1, 2016-06-29 16:46:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000284
127.0.0.1, 2016-06-29 16:46:52, GET, /admin/default/edit/Confeitaria/models/db.py, HTTP/1.1, 200, 40.877383
127.0.0.1, 2016-06-29 16:46:52, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 40.950521
127.0.0.1, 2016-06-29 16:46:52, GET, /admin/default/files_menu, HTTP/1.1, 200, 41.036826
127.0.0.1, 2016-06-29 16:46:52, GET, /admin/default/todolist.load, HTTP/1.1, 200, 41.061646
127.0.0.1, 2016-06-29 16:46:52, GET, /admin/static/_2.14.6/images/save_icon.png, HTTP/1.1, 200, 0.002936
127.0.0.1, 2016-06-29 16:46:52, GET, /admin/default/index, HTTP/1.1, 303, 35.165859
127.0.0.1, 2016-06-29 16:46:53, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.348583
127.0.0.1, 2016-06-29 16:46:53, GET, /Confeitaria/appadmin/hooks, HTTP/1.1, 200, 41.362523
127.0.0.1, 2016-06-29 16:46:53, GET, /admin/default/site, HTTP/1.1, 200, 0.280369
127.0.0.1, 2016-06-29 16:46:53, GET, /favicon.ico, HTTP/1.1, 400, 0.000384
127.0.0.1, 2016-06-29 18:43:53, GET, /Confeitaria/default/index, HTTP/1.1, 500, 2.722336
127.0.0.1, 2016-06-29 18:43:53, GET, /favicon.ico, HTTP/1.1, 400, 0.000881
127.0.0.1, 2016-06-29 18:43:55, GET, /admin/default/ticket/Confeitaria/127.0.0.1.2016-06-29.18-43-50.d7928300-5083-4aa6-b735-adddcf1dc208, HTTP/1.1, 303, 0.021575
127.0.0.1, 2016-06-29 18:43:55, GET, /admin/default/index, HTTP/1.1, 200, 0.066713
127.0.0.1, 2016-06-29 18:43:55, GET, /favicon.ico, HTTP/1.1, 400, 0.000437
127.0.0.1, 2016-06-29 18:43:58, POST, /admin/default/index, HTTP/1.1, 303, 0.080142
127.0.0.1, 2016-06-29 18:43:58, GET, /admin/default/ticket/Confeitaria/127.0.0.1.2016-06-29.18-43-50.d7928300-5083-4aa6-b735-adddcf1dc208, HTTP/1.1, 200, 0.290130
127.0.0.1, 2016-06-29 18:43:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000298
127.0.0.1, 2016-06-29 18:57:48, GET, /Confeitaria/default/index, HTTP/1.1, 500, 8.761502
127.0.0.1, 2016-06-29 18:57:48, GET, /favicon.ico, HTTP/1.1, 400, 0.001261
127.0.0.1, 2016-06-29 18:57:54, GET, /Confeitaria/default/index, HTTP/1.1, 500, 1.563738
127.0.0.1, 2016-06-29 18:57:54, GET, /favicon.ico, HTTP/1.1, 400, 0.001362
127.0.0.1, 2016-06-29 18:57:56, GET, /admin/default/ticket/Confeitaria/127.0.0.1.2016-06-29.18-57-53.67e55e8a-babd-41fb-9213-c9e513936122, HTTP/1.1, 200, 0.133710
127.0.0.1, 2016-06-29 18:57:57, GET, /favicon.ico, HTTP/1.1, 400, 0.000309
127.0.0.1, 2016-06-29 18:58:47, GET, /Confeitaria/default/index, HTTP/1.1, 200, 27.213552
127.0.0.1, 2016-06-29 18:58:48, GET, /Confeitaria/static/css/calendar.css, HTTP/1.1, 200, 0.007139
127.0.0.1, 2016-06-29 18:58:48, GET, /Confeitaria/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.004618
127.0.0.1, 2016-06-29 18:58:48, GET, /Confeitaria/static/js/calendar.js, HTTP/1.1, 200, 0.004501
127.0.0.1, 2016-06-29 18:58:48, GET, /Confeitaria/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.016298
127.0.0.1, 2016-06-29 18:58:48, GET, /Confeitaria/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.001249
127.0.0.1, 2016-06-29 18:58:48, GET, /Confeitaria/static/js/jquery.js, HTTP/1.1, 200, 0.021164
127.0.0.1, 2016-06-29 18:58:48, GET, /Confeitaria/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.005681
127.0.0.1, 2016-06-29 18:58:48, GET, /Confeitaria/static/js/web2py.js, HTTP/1.1, 200, 0.009366
127.0.0.1, 2016-06-29 18:58:48, GET, /Confeitaria/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.039112
127.0.0.1, 2016-06-29 18:58:48, GET, /Confeitaria/static/js/share.js, HTTP/1.1, 200, 0.034148
127.0.0.1, 2016-06-29 18:58:48, GET, /Confeitaria/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.003605
127.0.0.1, 2016-06-29 18:58:48, GET, /Confeitaria/static/images/background.jpg, HTTP/1.1, 200, 0.009730
127.0.0.1, 2016-06-29 18:58:49, GET, /Confeitaria/static/images/facebook.png, HTTP/1.1, 200, 0.004155
127.0.0.1, 2016-06-29 18:58:49, GET, /Confeitaria/static/images/gplus-32.png, HTTP/1.1, 200, 0.005222
127.0.0.1, 2016-06-29 18:58:49, GET, /Confeitaria/static/images/twitter.png, HTTP/1.1, 200, 0.005595
127.0.0.1, 2016-06-29 18:58:49, GET, /Confeitaria/static/images/favicon.ico, HTTP/1.1, 200, 0.002749
127.0.0.1, 2016-06-29 19:13:37, GET, /Confeitaria/default/index, HTTP/1.1, 200, 1.195385
127.0.0.1, 2016-06-29 19:13:37, GET, /Confeitaria/static/js/jquery.js, HTTP/1.1, 304, 0.002977
127.0.0.1, 2016-06-29 19:13:37, GET, /Confeitaria/static/css/calendar.css, HTTP/1.1, 304, 0.004026
127.0.0.1, 2016-06-29 19:13:37, GET, /Confeitaria/static/js/calendar.js, HTTP/1.1, 304, 0.002616
127.0.0.1, 2016-06-29 19:13:37, GET, /Confeitaria/static/js/web2py.js, HTTP/1.1, 304, 0.002847
127.0.0.1, 2016-06-29 19:13:37, GET, /Confeitaria/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.003101
127.0.0.1, 2016-06-29 19:13:37, GET, /Confeitaria/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.002530
127.0.0.1, 2016-06-29 19:13:37, GET, /Confeitaria/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.001808
127.0.0.1, 2016-06-29 19:13:37, GET, /Confeitaria/static/js/share.js, HTTP/1.1, 304, 0.003057
127.0.0.1, 2016-06-29 19:13:37, GET, /Confeitaria/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.001060
